transaction_id,iban,amount,currency,transaction_date,branch_id,channel,schema_version
ATM-001,GB82WEST12345698765432,100.00,PEN,2026-08-01T08:00:00Z,LIM-001,ATM,1.0
ATM-002,DE89370400440532013000,125.00,USD,2026-08-01T08:01:00Z,LIM-001,ATM,1.0
ATM-003,FR1420041010050500013M02606,150.00,PEN,2026-08-01T08:02:00Z,LIM-001,ATM,1.0
ATM-004,GB82WEST12345698765432,175.00,USD,2026-08-01T08:03:00Z,LIM-001,ATM,1.0
ATM-005,DE89370400440532013000,200.00,PEN,2026-08-01T08:04:00Z,LIM-001,ATM,1.0
ATM-006,FR1420041010050500013M02606,225.00,USD,2026-08-01T08:05:00Z,LIM-001,ATM,1.0
ATM-007,GB82WEST12345698765432,250.00,PEN,2026-08-01T08:06:00Z,LIM-001,ATM,1.0
ATM-008,DE89370400440532013000,275.00,USD,2026-08-01T08:07:00Z,LIM-001,ATM,1.0
ATM-009,FR1420041010050500013M02606,300.00,PEN,2026-08-01T08:08:00Z,LIM-001,ATM,1.0
ATM-010,GB82WEST12345698765432,325.00,USD,2026-08-01T08:09:00Z,LIM-001,ATM,1.0
ATM-011,DE89370400440532013000,350.00,PEN,2026-08-01T08:10:00Z,LIM-001,ATM,1.0
ATM-012,FR1420041010050500013M02606,375.00,USD,2026-08-01T08:11:00Z,LIM-001,ATM,1.0
ATM-013,GB82WEST12345698765432,400.00,PEN,2026-08-01T08:12:00Z,LIM-001,ATM,1.0
ATM-014,DE89370400440532013000,425.00,USD,2026-08-01T08:13:00Z,LIM-001,ATM,1.0
ATM-015,FR1420041010050500013M02606,450.00,PEN,2026-08-01T08:14:00Z,LIM-001,ATM,1.0
ATM-016,GB82WEST12345698765432,475.00,USD,2026-08-01T08:15:00Z,LIM-001,ATM,1.0
ATM-017,DE89370400440532013000,500.00,PEN,2026-08-01T08:16:00Z,LIM-001,ATM,1.0
ATM-018,FR1420041010050500013M02606,525.00,USD,2026-08-01T08:17:00Z,LIM-001,ATM,1.0
ATM-019,GB82WEST12345698765432,550.00,PEN,2026-08-01T08:18:00Z,LIM-001,ATM,1.0
ATM-020,DE89370400440532013000,575.00,USD,2026-08-01T08:19:00Z,LIM-001,ATM,1.0

